,0
1007,OTUD5
1008,TFE3
1009,TBC1D25
1010,ACSL4
1011,INPP5A
1012,GPKOW
1013,GRIPAP1
1014,FTSJ1
1015,REEP1
1016,ATP11A
1017,POLR1A
1018,LAPTM4A
1019,TTC7A
1020,IP6K2
1021,SRBD1
1022,CYFIP1
1023,KIF2A
1024,RASGRP2
1025,PSME4
1026,SIRT2
1027,ERLEC1
1028,PPP2R5B
1029,PYGM
1030,PAGE1
1031,PITX1
1032,TRPC7
1033,MAST4
1034,GPR116
1035,SDK2
1036,ADAM7
1037,NUP133
1038,NUCKS1
1039,VPS35
1040,DNAJA2
1041,BCL3
1042,KCNAB2
1043,ABCC9
1044,GAL
1045,CLEC2D
1046,FUNDC1
1047,MAOB
1048,RORA
1049,DRD4
1050,TGFBR3
1051,KIAA1107
1052,PLA2G10
1053,HES2
1054,ATP1B3
1055,NEDD4
1056,PIGB
1057,GNB5
1058,RAB27A
1059,CECR5
1060,UFD1L
1061,LRP6
1062,GUCY2C
1063,SCT
1064,PHRF1
1065,IKBKAP
1066,NUCB2
1067,PFN2
1068,PTPN3
1069,SPTB
1070,DAPP1
1071,FGF10
1072,SLC44A1
1073,C14orf101
1074,SMG6
1075,EXOC5
1076,CLTCL1
1077,FGF22
1078,FSTL3
1079,DGCR2
1080,RNF126
1081,MNT
1082,ZXDC
1083,JMJD6
1084,POLB
1085,ST6GALNAC1
1086,WIPI1
1087,FRMPD1
1088,GBA2
1089,NDST1
1090,ASNS
1091,AP3M2
1092,CNGB1
1093,ST6GALNAC2
1094,CHAT
1095,TESK2
1096,C16orf80
1097,CSNK2A2
1098,PTPN21
1099,EIF2B3
1100,CAMK2A
1101,TCOF1
1102,CDC42
1103,OSBPL3
1104,EPHA8
1105,SLC12A3
1106,RAD18
1107,ATP2B1
1108,TRPM5
1109,NCK2
1110,MAP4K4
1111,MGAT4A
1112,RPL31
1113,WDR1
1114,SNX13
1115,MS4A12
1116,ARHGAP10
1117,RPS6KA2
1118,ING3
1119,VASH1
1120,LMCD1
1121,WBSCR22
1122,SEL1L
1123,TRIP13
1124,ATP6AP1
1125,TCF3
1126,TRIB2
1127,DAZAP1
1128,MBD3
1129,PRLH
1130,HLTF
1131,FAM50A
1132,FAM3A
1133,CPSF1
1134,MYO3B
1135,CYBRD1
1136,CDH19
1137,PDCD2
1138,SLC6A15
1139,PRKACA
1140,LPHN1
1141,SPP2
1142,ACTN1
1143,ZFYVE26
1144,RPS6KA6
1145,EPN2
1146,PTPN18
1147,LIMS2
1148,ASIC4
1149,SPEG
1150,LNX1
1151,ALDH3A2
1152,TFRC
1153,SREBF1
1154,TRPC5
1155,AFF4
1156,UBE2D1
1157,MPP5
1158,RHOBTB1
1159,SMC1A
1160,HSD17B10
1161,MARK2
1162,HMMR
1163,TRHDE
1164,P4HA2
1165,FCGR2B
1166,NFATC3
1167,TRNT1
1168,ACADVL
1169,STK10
1170,FBXW11
1171,ACAP1
1172,CRMP1
1173,EVC
1174,DERL2
1175,SIDT1
1176,NDE1
1177,TMEM38A
1178,AP1M1
1179,PVR
1180,IKBKG
1181,XRCC1
1182,SCARB1
1183,CYP2W1
1184,MCM2
1185,MOV10L1
1186,PANX2
1187,nan
1188,TP63
1189,ALPK1
1190,LLGL2
1191,PDE8A
1192,CLCN4
1193,NLE1
1194,SDHA
1195,SMARCE1
1196,FNDC8
1197,GSDMB
1198,KDM5A
1199,ADAM11
1200,PPP2R3A
1201,FERMT2
1202,ABCB11
1203,DHRS9
1204,CD5L
1205,PTGS2
1206,IGF2BP2
1207,MAP3K13
1208,ST6GAL1
1209,TBX21
1210,FRY
1211,PICALM
1212,NSF
1213,GLI2
1214,CLASP1
1215,MRPS34
1216,NOTCH3
1217,CLNS1A
1218,PPP2R2C
1219,TEAD2
1220,EED
1221,CDHR2
1222,SNCB
1223,TSG101
1224,C17orf85
1225,ATP2A3
1226,CA12
1227,MGLL
1228,NTN4
1229,BCS1L
1230,NUAK1
1231,DPP8
1232,SLC24A1
1233,ZNF532
1234,SCARF1
1235,LMAN1
1236,PTPLAD1
1237,IPCEF1
1238,ZZEF1
1239,NOX3
1240,ENO1
1241,SLC12A1
1242,C19orf10
1243,ANO8
1244,TUBE1
1245,ARHGEF10L
1246,TXK
1247,WSCD2
1248,KCNQ2
1249,TACR2
1250,ACTR6
1251,TIPIN
1252,SRI
1253,EIF4G3
1254,NUP37
1255,SEMA3A
1256,GTSE1
1257,SEMA3C
1258,TTC38
1259,ACAT1
1260,GRAMD4
1261,CELSR1
1262,WNT8B
1263,ZNF638
1264,SLC25A40
1265,TIMM21
1266,ADD2
1267,FGF4
1268,RASAL2
1269,VPS9D1
1270,ZNF37A
1271,MARK3
1272,SLC25A3
1273,FNDC3B
1274,FOSL2
1275,CACNG5
1276,CACNG4
1277,FRYL
1278,TMEM131
1279,FSCN1
1280,ACTB
1281,MOCOS
1282,PLD1
1283,ATP12A
1284,WDR62
1285,DLG1
1286,RAB7A
1287,BCAP29
1288,SEC31B
1289,SART3
1290,ARHGAP15
1291,PAX2
1292,EXOSC7
1293,KIFAP3
1294,MKRN2
1295,MCM6
1296,REXO2
1297,RBMS2
1298,BAZ2A
1299,PTPN23
1300,MLH1
1301,UNG
1302,FMO4
1303,KLHL20
1304,RGS11
1305,SLC46A1
1306,PLXNA2
1307,ANKRD13A
1308,TPD52
1309,ACACB
1310,TRAF4
1311,PAG1
1312,GPATCH1
1313,ICAM3
1314,NT5C2
1315,MCAM
1316,GPC4
1317,MBNL3
1318,CAMSAP3
1319,RAP1GAP
1320,XAB2
1321,ARHGEF1
1322,STXBP2
1323,MAP2K7
1324,NMRK2
1325,DGKD
1326,CTTNBP2
1327,ACTL6B
1328,RARB
1329,TOP2B
1330,TM9SF3
1331,NFKB2
1332,UBE2T
1333,PPP1R12B
1334,DNAJC10
1335,GTF3C1
1336,IL4R
1337,USP33
1338,PAK3
1339,CAPN6
1340,DCX
1341,SNRPA
1342,SPAG6
1343,EXOSC5
1344,APBB1IP
1345,LRCH4
1346,FAM76B
1347,SIRT6
1348,TYR
1349,POLD3
1350,ACTN2
1351,CAPZB
1352,GPR137B
1353,NAALAD2
1354,PHF17
1355,SLC25A43
1356,UBE2A
1357,FGFR1
1358,FKBP6
1359,GTF2I
1360,SMC1B
1361,FBLN1
1362,ITGA8
1363,CST7
1364,MAP2
1365,PIAS2
1366,AMPH
1367,ARAF
1368,MCCC1
1369,LAMP3
1370,FAP
1371,NEBL
1372,ACER3
1373,UBE2K
1374,PIK3C3
1375,N4BP2
1376,C12orf5
1377,TULP3
1378,SYNJ2
1379,ADCY2
1380,PPP2R5C
1381,RBFOX1
1382,GNB1
1383,HOXA9
1384,EDN1
1385,MLLT10
1386,ZCWPW1
1387,ADCYAP1R1
1388,FGF20
1389,P2RY10
1390,ITM2A
1391,NRD1
1392,VDAC3
1393,PCM1
1394,TNRC6C
1395,CBFA2T2
1396,DBC1
1397,ITCH
1398,PKD2L2
1399,TP53INP2
1400,SDF4
1401,MYH7B
1402,BPIFB2
1403,TP73
1404,TOLLIP
1405,UBE2D4
1406,CLUL1
1407,RUNX1T1
1408,CDH17
1409,THOC1
1410,FKBP7
1411,OSBPL6
1412,SLC1A3
1413,XRCC5
1414,LXN
1415,SP140
1416,MKNK1
1417,TNS1
1418,REXO1
1419,SAR1A
1420,CDC14A
1421,RAPGEF3
1422,CEACAM1
1423,SENP1
1424,DUSP13
1425,CIC
1426,LIPE
1427,FDFT1
1428,PAFAH1B3
1429,OPHN1
1430,AFM
1431,KIF22
1432,SCGN
1433,LRRC16A
1434,PGM1
1435,DDX1
1436,DNM2
1437,EPB41L2
1438,RIMS1
1439,MOXD1
1440,STX7
1441,RABL2B
1442,KEAP1
1443,DDX43
1444,PTPRH
1445,DCT
1446,SLC35C2
1447,CRYBG3
1448,EPHA6
1449,SCTR
1450,RFX3
1451,RIF1
1452,RAB21
1453,SLC4A4
1454,SMARCA2
1455,RDH8
1456,SESN1
1457,MID2
1458,PIH1D3
1459,COL5A3
1460,SRCAP
1461,KIAA0020
1462,CPB2
1463,CHRNA3
1464,KCNN2
1465,CNOT4
1466,PSEN1
1467,CPOX
1468,CLDND1
1469,MOK
1470,HSP90AA1
1471,RBL1
1472,DLGAP4
1473,IGSF9B
1474,CFHR2
1475,NDC80
1476,AP4E1
1477,RSBN1
1478,MAGI3
1479,CXCL2
1480,AFP
1481,COL4A4
1482,TCF7
1483,OSTM1
1484,CDH7
1485,IMPG2
1486,PCNP
1487,EXD2
1488,ARG2
1489,MEF2C
1490,PTPRC
1491,CACNA1S
1492,PKP1
1493,UBA5
1494,STK17B
1495,CDC14B
1496,ZNF510
1497,LRP2
1498,ZNF506
1499,JMJD4
1500,DUSP12
1501,AACS
1502,KIAA0141
1503,SLC13A1
1504,CADPS2
1505,PCDHB4
1506,HSPB11
1507,PHLPP1
1508,ATP8B1
1509,IL12RB2
1510,SMARCD3
1511,WDR70
1512,FYB
1513,MPP4
1514,STRADB
1515,PGR
1516,C1QTNF3
1517,ME2
1518,C5orf22
1519,CCNT2
1520,FAM135A
1521,COL19A1
1522,EPB41L3
1523,COBLL1
1524,DLG3
1525,KCNK2
1526,SERTAD4
1527,TRAF5
1528,MRPL22
1529,GEMIN5
1530,OPRK1
1531,NFE2L1
1532,SEMA5B
1533,GSK3B
1534,ITGB5
1535,ERC1
1536,XPO1
1537,C4orf6
1538,RNF13
1539,TRPM3
1540,PALB2
1541,DOPEY1
1542,LYRM2
1543,BCKDHB
1544,KAT6A
1545,ZCCHC6
1546,ULK2
1547,GRHL2
1548,TNPO1
1549,PLOD1
1550,ITGAE
1551,DIS3
1552,PIBF1
1553,TDRD3
1554,NUFIP1
1555,PDS5B
1556,OXCT1
1557,RRAGB
1558,EPYC
1559,CYLD
1560,SLC27A5
1561,ZNF324
1562,ZNF671
1563,ZNF416
1564,ZNF586
1565,ZNF446
1566,ZNF8
1567,ZNF264
1568,RPS5
1569,FAT1
1570,YTHDC1
1571,CHMP2B
1572,SMAP2
1573,PPIE
1574,ZMPSTE24
1575,STARD7
1576,NOA1
1577,REST
1578,HAL
1579,SSH1
1580,GSTP1
1581,APLP2
1582,KIAA1467
1583,SLCO1A2
1584,WBP11
1585,EIF3I
1586,NKAIN1
1587,COL16A1
1588,TXLNA
1589,APOB
1590,NCOA1
1591,AGBL5
1592,EFR3B
1593,KIF3C
1594,RAB10
1595,GCKR
1596,HADHA
1597,MAPRE3
1598,CAD
1599,CD59
1600,CD82
1601,BCORL1
1602,ATRX
1603,TAF9
1604,FCN1
1605,MYNN
1606,MECOM
1607,SCAMP1
1608,PREP
1609,HACE1
1610,SEH1L
1611,WDR47
1612,WDFY1
1613,OVGP1
1614,SLC25A24
1615,MAP3K4
1616,PILRA
1617,IGSF9
1618,ABCB1
1619,ZNF213
1620,CPNE3
1621,RRN3
1622,CTTN
1623,WNT11
1624,MTIF2
1625,DDHD2
1626,TTC39A
1627,EPS15
1628,ORC1
1629,MGST2
1630,ATG16L1
1631,USP40
1632,POMGNT1
1633,RAD54L
1634,MAST2
1635,DNAJA1
1636,B4GALT1
1637,CHMP5
1638,NFX1
1639,AQP6
1640,DIMT1
1641,IPO11
1642,FOLH1
1643,EIF2AK1
1644,EPDR1
1645,SNX10
1646,SEPHS1
1647,MRPL28
1648,HBQ1
1649,ITPKC
1650,CEACAM6
1651,FAT2
1652,RBM22
1653,TMED2
1654,ERO1LB
1655,ZFAND6
1656,HSD17B2
1657,TXLNG
1658,PPEF1
1659,LAT2
1660,HUWE1
1661,ALG9
1662,MYBPC2
1663,NOX4
1664,ACOX3
1665,MTMR2
1666,PPP1R15A
1667,HSD17B14
1668,TRIP6
1669,ACHE
1670,FTL
1671,SRRT
1672,BAX
1673,NLK
1674,ADAMTS2
1675,TMPRSS11E
1676,ATXN7L3
1677,PGS1
1678,PSMC5
1679,UIMC1
1680,CETP
1681,MMP2
1682,MT3
1683,LPCAT2
1684,GNAO1
1685,OGFOD1
1686,SH3BP2
1687,NOP14
1688,ADD1
1689,L2HGDH
