DRUG_ID,DRUG_NAME,DRUG_SYNONYMS,DrugBank_ID,PubChem_ID,MESH_ID,KEGG_ID,TTD_ID
BADD_D00040,Acyclovir sodium,"Acyclovir | 9-((2-Hydroxyethoxy)methyl)guanine | Aciclovir | Acycloguanosine | Herpoviric | Aciclobeta | Aciclostad | Isavir | Laciken | Mapox | Maynar | Milavir | Opthavir | Supraviran | Viclovir | Vipral | Virax-Puren | Virax Puren | ViraxPuren | Virherpes | Virmen | Virolex | Virupos | Virzin | Wellcome-248U | Wellcome 248U | Wellcome248U | Zoliparin | Zovirax | Zyclir | Aciclovir Alonga | Alonga, Aciclovir | Acifur | Acipen Solutab | Solutab, Acipen | Acivir | Activir | Acyclo-V | Acyclo V | Acyclovir Sodium | Sodium, Acyclovir | Antiherpes Creme | aciclovir von ct | Avirax | Cicloferon | Clonorax | Cusiviral | Genvir | Herpetad | Herpofug | Herpotern | Aci-Sanorania | Aci Sanorania | Aciclovir-Sanorania | Aciclovir Sanorania | Acic",DB00787,23665721,D000212,D02764,D0B5MP
BADD_D00041,Adalimumab,"Adalimumab | Humira | Adalimumab-adbm | Amjevita | Adalimumab-atto | Cyltezo | D2E7 Antibody | Antibody, D2E7",DB00051,Not Available,D000068879,D02597,D0K5KS
BADD_D00042,Adapalene,"Adapalene | 6-(3-(1-adamantyl)-4-methoxyphenyl)-2-naphthoic acid | CD 271 | 271, CD | CD271 | CD-271 | Adaferin | Differin | Differine",DB00210,60164,D000068816,D01112,D0JC9N
BADD_D00043,Adefovir,adefovir | 9-(2-phosphonylmethoxyethyl)adenine | 9-PMEA | 9-(2-phosphonomethoxyethyl)adenine,DB13868,60172,C053001,D02768,D00UUM
BADD_D00044,Adefovir dipivoxil,adefovir dipivoxil | adefovir depivoxil | 9-(2-((-bis((pivaloyloxy)methoxy)phosphinyl)methoxy)ethyl)adenine | Hepsera | Preveon | GS 840 | GS-0840,DB00718,60871,C106812,D01655,D0ML1F
BADD_D00045,Adenosine,Adenosine | Adenocard | Adenoscan,DB00640,60961,D000241,D00045,D06IAR
BADD_D00046,Ado-trastuzumab emtansine,Ado-Trastuzumab Emtansine | Ado Trastuzumab Emtansine | Trastuzumab Emtansine | Kadcyla | huN901-DM1 | huN901 DM1 | huN901DM1 | Trastuzumab-DM1 Conjugate | Trastuzumab DM1 Conjugate | Trastuzumab-DM1 | Trastuzumab DM1,DB05773,Not Available,D000080044,D09980,Not Available
BADD_D00047,Afatinib,Afatinib | (2E)-N-(4-(3-Chloro-4-fluoroanilino)-7-(((3S)-oxolan-3-yl)oxy)quinoxazolin-6-yl)-4-(dimethylamino)but-2-enamide | BIBW-2992-MA2 | BIBW 2992 MA2 | BIBW-2992MA2 | BIBW 2992MA2 | BIBW2992 MA2 | Afatinib Maleate | BIBW 2992 | BIBW2992 | BIBW-2992 | Gilotrif | Afatinib Dimaleate,DB08916,10184653,D000077716,D09724,D05UFG
BADD_D00048,Aflibercept,aflibercept | VEGF Trap - regeneron | VEGF Trap-Eye | VEGF-Trap | eylea | Zaltrap | AVE 0005 | AVE0005 | AVE-0005 | AVE 005 | AVE005 | AVE-005 | ZIV-aflibercept,DB08885,Not Available,C533178,D09574,D0C9ET
BADD_D00049,Agalsidase beta,agalsidase beta | Fabrazyme,DB00103,52918379,C459420,D03228,Not Available
BADD_D00050,Agomelatine,agomelatine | N-(2-(7-methoxy-1-naphthyl)ethyl)acetamide | AGO 178 | AGO178 | AGO-178 | Thymanax | Valdoxan | S20098 | S 20098 | S-20098,DB06594,82148,C084711,D02578,D0Y8UB
BADD_D00051,Airduo respiclick,Not Available,Not Available,56841124,Not Available,Not Available,Not Available
BADD_D00052,Albendazole,"Albendazole | Lurdex | Bilutac | Metiazol | Andazol | Albenza | Zentel | Albendoral | Albendazole Monohydrochloride | Monohydrochloride, Albendazole | Bendapar | Digezanol | Disthelm | Mediamix V Disthelm | Endoplus | Eskazole | Gascop | SK&F-62979 | SK&F 62979 | SK&F62979 | SKF-62979 | SKF 62979 | SKF62979 | Valbazen",DB00518,2082,D015766,D00134,D00KVO
BADD_D00053,Albiglutide,rGLP-1 protein | Eperzan | Tanzeum | albiglutide,DB09043,145994868,C534611,D08843,Not Available
BADD_D00054,Albumin (human),"Serum Albumin, Human | Albumin, Human Serum | Human Serum Albumin | Albumin Human | Human, Albumin | Human Albumin | Albumin, Human",DB00062,Not Available,D000075462,D02792,D0I0VI
BADD_D00055,Albumin microspheres (human),"Serum Albumin | Albumin, Serum | Plasma Albumin",DB00062,Not Available,D012709,Not Available,Not Available
BADD_D00056,Albuterol,Albuterol | Salbutamol | 2-t-Butylamino-1-(4-hydroxy-3-hydroxy-3-hydroxymethyl)phenylethanol | Ventolin | Sultanol | Albuterol Sulfate | Proventil,DB01001,2083,D000420,D02147,D0K5CB
BADD_D00057,Albuterol sulfate,Albuterol | Salbutamol | 2-t-Butylamino-1-(4-hydroxy-3-hydroxy-3-hydroxymethyl)phenylethanol | Ventolin | Sultanol | Albuterol Sulfate | Proventil,DB01001,39859,D000420,D00683,D0K5CB
BADD_D00058,Alcaftadine,alcaftadine,DB06766,19371515,C557708,D06552,D0O7JW
BADD_D00059,Alclometasone,"alclometasone dipropionate | 7 alpha-chloro-16 alpha-methylprednisolone 17,21-dipropionate | Sch 22219 | Logoderm | Aclovate | Delonal | Modrasone | Aclosone",DB00240,5311000,C021137,D07116,D0F1EX
BADD_D00060,Alclometasone dipropionate,"alclometasone dipropionate | 7 alpha-chloro-16 alpha-methylprednisolone 17,21-dipropionate | Sch 22219 | Logoderm | Aclovate | Delonal | Modrasone | Aclosone",DB00240,636374,C021137,D01820,Not Available
BADD_D00061,Alcohol,"Ethanol | Grain Alcohol | Alcohol, Grain | Alcohol, Ethyl | Ethyl Alcohol | Absolute Alcohol | Alcohol, Absolute",DB00898,702,D000431,D00068,D00AMQ
BADD_D00062,Aldesleukin,aldesleukin | Proleukin | BAY 50-4798,DB00041,Not Available,C082598,D00748,D05PUD
BADD_D00063,Alectinib hydrochloride,alectinib | Alecensa | CH5424802 | RO5424802,DB11363,53239799,C582670,D10450,D0U3SY
BADD_D00064,Alemtuzumab,"Alemtuzumab | Campath 1H | Monoclonal Antibody Campath-1H | Antibody Campath-1H, Monoclonal | Campath-1H, Monoclonal Antibody | Monoclonal Antibody Campath 1H | Campath-1H | Campath1H | Campath 1M | Campath-1M | MabCambath | Lemtrada | Campath 1G | Campath-1-G | Campath 1 G | Campath1G | Campath-1G | Campath",DB00087,Not Available,D000074323,D02802,D01ZYG
BADD_D00065,Alendronate sodium,"Alendronate | 4-Amino-1-Hydroxybutylidene 1,1-Biphosphonate | Aminohydroxybutane Bisphosphonate | MK-217 | MK 217 | MK217 | Alendronate Monosodium Salt, Trihydrate | Alendronate Sodium | Fosamax",DB00630,6331783,D019386,D00939,D09KLR
BADD_D00066,Alendronic acid,"Alendronate | 4-Amino-1-Hydroxybutylidene 1,1-Biphosphonate | Aminohydroxybutane Bisphosphonate | MK-217 | MK 217 | MK217 | Alendronate Monosodium Salt, Trihydrate | Alendronate Sodium | Fosamax",DB00630,2088,D019386,D07119,D09KLR
BADD_D00067,Alfentanil,Alfentanil | Alfentanyl | Alfentanil Hydrochloride | R-39209 | R 39209 | R39209 | Alfenta | Limifen | Rapifen | Fanaxal,DB00802,51263,D015760,D07122,D0G5QB
BADD_D00068,Alfentanil hydrochloride,Alfentanil | Alfentanyl | Alfentanil Hydrochloride | R-39209 | R 39209 | R39209 | Alfenta | Limifen | Rapifen | Fanaxal,DB00802,64761,D015760,D00835,D0A3ES
BADD_D00069,Alfuzosin,"alfuzosin | alphuzosine | N-(3-((4-amino-6,7-dimethoxy-2-quinazolinyl)methylamino)propyl)tetrahydro-2-furancarboxamide | alfusozine | alfuzosin hydrochloride | UroXatral | Benestan | Urion | Xatral | Alfetim",DB00346,2092,C047638,D07124,D09MWJ
BADD_D00070,Alfuzosin hydrochloride,"alfuzosin | alphuzosine | N-(3-((4-amino-6,7-dimethoxy-2-quinazolinyl)methylamino)propyl)tetrahydro-2-furancarboxamide | alfusozine | alfuzosin hydrochloride | UroXatral | Benestan | Urion | Xatral | Alfetim",DB00346,71764,C047638,D01692,D0H1YQ
BADD_D00071,Alglucosidase alfa,"GAA protein, human | LYAG protein, human | acid alpha-glucosidase, human | acid maltase, human | glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II), human | lysosomal alpha-glucosidase, human | alglucosidase alfa | rhGAA | recombinant human acid alpha-glucosidase | Nexviazyme | avlglucosidase alfa | Myozyme",DB01272,Not Available,C509951,D03207,D07DUU
BADD_D00072,Alirocumab,alirocumab | SAR236553 | SAR-236553 | REGN-727 | monoclonal antibody REGN727 | REGN727 monoclonal antibody | REGN727 | praluent,DB09302,Not Available,C571059,D10335,D00GNI
BADD_D00073,Aliskiren,"aliskiren | rasilez | Tekturna | CGP 060536B | CGP060536B | CGP-060536B | 2(S),4(S),5(S),7(S)-N-(2-carbamoyl-2-methylpropyl)-5-amino-4-hydroxy-2,7-diisopropyl-8-(4-methoxy-3-(3-methoxypropoxy)phenyl)octanamid hemifumarate | SPP100",DB09026,5493444,C446481,D03208,D03SVX
BADD_D00074,Aliskiren hemifumarate,"aliskiren | rasilez | Tekturna | CGP 060536B | CGP060536B | CGP-060536B | 2(S),4(S),5(S),7(S)-N-(2-carbamoyl-2-methylpropyl)-5-amino-4-hydroxy-2,7-diisopropyl-8-(4-methoxy-3-(3-methoxypropoxy)phenyl)octanamid hemifumarate | SPP100",DB09026,6918427,C446481,D06412,D03SVX
BADD_D00075,Alitretinoin,Alitretinoin | 9cRA Compound | 9-cis-Retinoic Acid | 9 cis Retinoic Acid | BAL4079 | Panretin | Toctino,DB00523,449171,D000077556,D02815,Not Available
BADD_D00076,Allopurinol,Allopurinol | Uribenz | Allopurin | Allorin | Allpargin | Allural | Pan Quimica | Apulonga | Apurin | Atisuril | Bleminol | Caplenal | Capurate | Cellidrin | Embarin | Suspendol | Foligan | Hamarin | Lopurin | Lysuron | Jenapurinol | Milurit | Milurite | Novopurol | Uripurinol | Urosin | Urtias | Xanthomax | Uridocid | Xanturic | Zygout | Zyloprim | Zyloric | Pureduct | Purinol | Progout | Remid | Rimapurinol | Roucol | Tipuric | Allohexal | Allohexan | Alloprin,DB00437,135401907,D000493,D00224,D04KYY
BADD_D00077,Almotriptan,almotriptan | almotriptan malate | Axert | Almogran,DB00918,123606,C409045,D02824,D0P0SM
BADD_D00078,Almotriptan malate,almotriptan | almotriptan malate | Axert | Almogran,DB00918,123607,C409045,D02825,D0P0SM
BADD_D00079,Alogliptin,"alogliptin | 2-((6-((3R)-3-aminopiperidin-1-yl)-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)methyl) benzonitrile | nesina | SYR 322 | SYR322 | SYR-322",DB06203,11450633,C520853,D06553,D0NJ5H
BADD_D00080,Alogliptin benzoate,"alogliptin | 2-((6-((3R)-3-aminopiperidin-1-yl)-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)methyl) benzonitrile | nesina | SYR 322 | SYR322 | SYR-322",DB06203,16088021,C520853,D06553,D0NJ5H
BADD_D00081,Alomide,"lodoxamide tromethamine | U 42585 E | U-42,585E | Alomide",DB06794,44563,C022028,D04762,Not Available
BADD_D00082,Alosetron,"alosetron | Lotronex | alosetron hydrochloride | alosetron monohydrochloride | 2,3,4,5-tetrahydro-5-methyl-2-((5-methylimidazol-4-yl)methyl)-1H-pyrido(4,3-b)indol-1-one monohydrochloride | GR 68755 | GR68755",DB00969,2099,C090840,D07129,D06GKN
BADD_D00083,Alosetron hydrochloride,"alosetron | Lotronex | alosetron hydrochloride | alosetron monohydrochloride | 2,3,4,5-tetrahydro-5-methyl-2-((5-methylimidazol-4-yl)methyl)-1H-pyrido(4,3-b)indol-1-one monohydrochloride | GR 68755 | GR68755",DB00969,60758,C090840,D02829,D06GKN
