,0
423,LATS2
424,FOXO1
425,EXT2
426,VTI1A
427,FLI1
428,CYSLTR2
429,SETBP1
430,PTPRK
431,RAD17
432,RGPD3
433,RANBP2
434,PTPRD
435,JAZF1
436,MSI2
437,XPC
438,FLCN
439,GNAQ
440,WIF1
441,PHF6
442,KAT6B
443,BUB1B
444,EIF4A2
445,NRG1
446,CACNA1D
447,KIT
448,ERG
449,CREB3L1
450,BRAF
451,SLC34A2
452,TNFRSF14
453,SKI
454,FANCC
455,ELK4
456,SLC45A3
457,RUNX1
458,FAM131B
459,U2AF1
460,RALGDS
461,LMNA
462,FGFR4
463,RECQL4
464,SRSF2
465,TAL1
466,JAK1
467,FUBP1
468,DDR2
469,RBM15
470,REL
471,H3F3A
472,ERCC3
473,ATP1A1
474,ELF3
475,FEV
476,TGFBR2
477,FCRL4
478,FBLN2
479,PTPN13
480,GMPS
481,RPN1
482,BAP1
483,PBRM1
484,CASP3
485,EBF1
486,TERT
487,ACSL6
488,TLX3
489,HEY1
490,RAD21
491,CSMD3
492,COX6C
493,PSIP1
494,SYK
495,WNK2
496,FAT3
497,WRN
498,TSHR
499,CDX2
500,NSD1
501,TSC1
502,RET
503,LMO1
504,PRKCB
505,B2M
506,NAB2
507,STAT6
508,SMAD3
509,CDK12
510,TPM4
511,KMT2D
512,KLK2
513,SDHAF2
514,CTNNB1
515,PAFAH1B2
516,HOOK3
517,RFWD3
518,RHOH
519,FEN1
520,COL3A1
521,STAT3
522,AXIN2
523,IL7R
524,LRP1B
525,TET2
526,MAP2K1
527,AR
528,MN1
529,ZRSR2
530,PCBP1
531,ASPSCR1
532,CNBP
533,CTNND2
534,BRD3
535,PWWP2A
536,MGMT
537,SIX2
538,KIF5B
539,CHCHD7
540,PPM1D
541,ALK
542,CANT1
543,CHST11
544,ASXL1
545,GPHN
546,CAMTA1
547,BCL2
548,MLLT3
549,PTEN
550,MALT1
551,CLP1
552,AFF1
553,TAF15
554,NBEA
555,MYD88
556,CHD2
557,EIF1AX
558,STAT5B
559,RNF213
560,CNTNAP2
561,HRAS
562,ATR
563,DDIT3
564,ISX
565,SMAD2
566,ERCC4
567,RMI2
568,ETV4
569,FOXR1
570,CNBD1
571,POLE
572,TBL1XR1
573,JUN
574,MLF1
575,PDE4DIP
576,DDX10
577,CD28
578,ERBB4
579,MAF
580,SUZ12
581,PER1
582,CALR
583,PTPN11
584,GATA2
585,GPC5
586,CIITA
587,APOBEC3B
588,MB21D2
589,PRF1
590,MUC16
591,NPM1
592,SOX2
593,SETD2
594,PLAG1
595,IDH2
596,CREB3L2
597,P2RY8
598,RAD51B
599,EXT1
600,FES
601,CSF1R
602,LCK
603,RBM10
604,RGS7
605,EWSR1
606,FANCF
607,BCOR
608,GRIN2A
609,ZNRF3
610,MACC1
611,CHEK2
612,FOXL2
613,CCR4
614,TMPRSS2
615,MAML2
616,SS18L1
617,FOXO4
618,NUTM1
619,MED12
620,SEPT9
621,AMER1
622,SEPT5
623,NUTM2A
624,WT1
625,ROBO2
626,ZNF479
627,SOCS1
628,MUC1
629,PBX1
630,IKZF1
631,PTCH1
632,TAL2
633,BCL9L
634,NF2
635,BCR
636,MITF
637,FNBP1
638,DCC
639,TCEA1
640,FANCA
641,NUTM2B
642,ARID2
643,FHIT
644,PTPRT
645,PAX5
646,FAT4
647,SRGAP3
648,TRRAP
649,NCOR2
650,NACA
651,NF1
652,ARHGEF12
653,FLNA
654,ZNF429
655,SRC
656,SND1
657,BLM
658,TRIM33
659,MYO5A
660,PDCD1LG2
661,MDS2
662,SIRPA
663,FAM47C
664,CARD11
665,DCAF12L2
666,NTRK1
667,CTNND1
668,BAZ1A
669,MDM4
670,MTOR
671,ZNF521
672,GRM3
673,TOP1
674,ECT2L
675,MAFB
676,DAXX
677,SDHD
678,POU5F1
679,TRIM27
680,DCTN1
681,CRLF2
682,OLIG2
683,HLA-A
684,FGFR1OP
685,MLLT11
686,NRAS
687,NCKIPSD
688,MTCP1
689,DDX3X
690,FANCG
691,SSX2
692,ETV5
693,CEBPA
694,LSM14A
695,CUX1
696,C15orf65
