	loss:cnaSKCM1	loss:cnaSKCM2	loss:cnaSKCM3	"loss:cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"	loss:cnaSKCM5 (PAX5)	gain:cnaSKCM6 (TERT)	gain:cnaSKCM7	gain:cnaSKCM8	loss:cnaSKCM9	loss:cnaSKCM10 (SMARCA4)	loss:cnaSKCM11	gain:cnaSKCM12 (KRAS)	"gain:cnaSKCM13 (MDM2,NUP107)"	gain:cnaSKCM14 (NOTCH2)	gain:cnaSKCM15 (AHCTF1)	loss:cnaSKCM16	loss:cnaSKCM17	loss:cnaSKCM18	loss:cnaSKCM19	loss:cnaSKCM20	"gain:cnaSKCM21 (FOXP1,MITF)"	loss:cnaSKCM22	loss:cnaSKCM23	loss:cnaSKCM24	loss:cnaSKCM25	loss:cnaSKCM26	loss:cnaSKCM27 (CASP1)	loss:cnaSKCM28	gain:cnaSKCM29 (MYC)	loss:cnaSKCM30
905955	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
909725	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
905954	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
909724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
909726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
909727	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1
905956	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
905977	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0
905976	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
930301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
909784	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
1299078	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
1240226	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1299080	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1299081	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
