	"gain:cnaHNSC1 (ACTB,CARD11,PMS2,RAC1)"	gain:cnaHNSC2 (EGFR)	loss:cnaHNSC3	gain:cnaHNSC4	gain:cnaHNSC5 (MYC)	loss:cnaHNSC6	loss:cnaHNSC7 (SMARCA4)	gain:cnaHNSC8	gain:cnaHNSC9 (FANCG)	gain:cnaHNSC10	loss:cnaHNSC11 (CDKN2A)	loss:cnaHNSC12	loss:cnaHNSC13 (NOTCH1)	gain:cnaHNSC14 (ASXL1)	"gain:cnaHNSC15 (NR2F2,PCSK6)"	loss:cnaHNSC16	"gain:cnaHNSC17 (CCND1,CTTN)"	loss:cnaHNSC18	loss:cnaHNSC19 (MED17)	loss:cnaHNSC20	gain:cnaHNSC21 (MCM3)	gain:cnaHNSC22	"gain:cnaHNSC23 (MDM2,NUP107,SRGAP1)"	loss:cnaHNSC24	loss:cnaHNSC25	loss:cnaHNSC26	loss:cnaHNSC27	"loss:cnaHNSC28 (ATP1A1,CSDE1,NRAS)"	loss:cnaHNSC29	loss:cnaHNSC30	loss:cnaHNSC31	loss:cnaHNSC32 (FAT1)	gain:cnaHNSC33
1298531	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1240206	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1240207	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
909700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
909708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1299050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
910911	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
910701	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
910904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
909709	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1299052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1299059	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
